bid	comments_count	created_at	reposts_count	text	uid	url	user_followers_count
4318573335645248	281	5小时前	6	我记得我昨晚喝多了特别恨卢本伟<br />对是恨<br />原因很简单<br />他在我唱的正high的时候<br />拿走了我的麦克风叫我回家 	5882951422	https://m.weibo.cn/status/H7NaZnGAo?mblogid=H7NaZnGAo&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	1570223
4318605091193135	144	3小时前	513	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%B8%E6%88%8FV%E7%9B%98%E7%82%B9%23&extparam=%23%E6%B8%B8%E6%88%8FV%E7%9B%98%E7%82%B9%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#游戏V盘点#</span></a> 社长今天就来盘点一下2018年十大主播事件 <span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em; height:1em;"" /></span><br /><br />1、五五开卢本伟上《焦点访谈》，遭央视点名封杀<br />2、蛇哥同被斗鱼、虎牙共同起诉，负债6400万<br />3、冯提莫会计门上央视，同时被曝隐婚两年<br />4、嗨氏跳槽斗鱼被判赔偿虎牙4900万<br />5、魔音糯米时隔半年沉冤得雪，蓝洞名誉扫地<br />6、陈一发因早年调 ...<a href=""/status/4318605091193135"">全文</a>"	5937999922	https://m.weibo.cn/status/H7O0d50o7?mblogid=H7O0d50o7&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	1309729
4317986146284826	339	12-16	115	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%90%90%E6%A7%BD%E5%A4%A7%E4%BC%9A%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#吐槽大会#</span></a> 插刀教教主杜淳这个不要脸的玩意还好意思洗白？！我去你大爷的吧！比过世了的主播卢本伟还人品卑劣！ "	3050893364	https://m.weibo.cn/status/H7xTUqmYa?mblogid=H7xTUqmYa&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	612719
4318640918453526	0	40分钟前	0	"今天以前的一个同学问我，老师说的那个人是不是我，但我对老师的态度都特别好呀，应该不是我<br />但，六班的一个以前一起补课的同学，叫我卢本伟。<span class=""url-icon""><img alt=[微笑] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em; height:1em;"" /></span><br />我承认是我的错，但这样真的很烦，我最怕的就是这样<br />好累好累 "	6784381276	https://m.weibo.cn/status/H7OVZzt9c?mblogid=H7OVZzt9c&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	12
4318635700969084	0	1小时前	0	"<a  href=""https://m.weibo.cn/p/index?containerid=100808bca64c9ec2d5e03e082dd0f13f42ea64&extparam=%E5%8D%A2%E6%9C%AC%E4%BC%9F&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='http://n.sinaimg.cn/photo/5213b46e/20181127/timeline_card_small_super_default.png'></span><span class=""surl-text"">卢本伟</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%A3%E8%AF%9E%E5%AD%A3%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#圣诞季#</span></a> 很想很想很想你这个狗贼<br />每天晚上都得放着你的录播入睡<span class=""url-icon""><img alt=[失望] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_shiwang-775c6c63ae.png"" style=""width:1em; height:1em;"" /></span><br />圣诞节快到了  给自己安排个头像先 "	2468713434	https://m.weibo.cn/status/H7ONA446o?mblogid=H7ONA446o&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	299
4318634731837996	1	1小时前	0	"盘点一下2018年十大主播事件 <span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em; height:1em;"" /></span><br /><br />1、五五开卢本伟上《焦点访谈》，遭央视点名封杀<br />2、蛇哥同被斗鱼、虎牙共同起诉，负债6400万<br />3、冯提莫会计门上央视，同时被曝隐婚两年<br />4、嗨氏跳槽斗鱼被判赔偿虎牙，蓝洞名誉扫地<br />6、陈一发因早年调侃南京大屠杀一事被全网封杀<br />7、斗鱼主播“B总001”精日言论被 ...<a href=""/status/4318634731837996"">全文</a>"	1221561195	https://m.weibo.cn/status/H7OM17I96?mblogid=H7OM17I96&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	48148
4318589198661566	8	4小时前	9	"我卢本伟真的没开挂//<a href='/n/老刀99'>@老刀99</a>: 超级瞄准已经部署<span class=""url-icon""><img alt=[二哈] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_erha-0d2bea3a7d.png"" style=""width:1em; height:1em;"" /></span>//<a href='/n/玩加电竞绝地求生'>@玩加电竞绝地求生</a>:<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-c6964bf237.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-c6964bf237.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-c6964bf237.png"" style=""width:1em; height:1em;"" /></span>举报了，对面的空投上有神仙"	1411482802	https://m.weibo.cn/status/H7NAzAlgG?mblogid=H7NAzAlgG&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	2261023
4318583976545169	0	4小时前	0	"我卢本伟重来没有开过挂那天晚上是朋友来我家演示了一下外挂<span class=""url-icon""><img alt=[允悲] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_yunbei-c6964bf237.png"" style=""width:1em; height:1em;"" /></span>"	2696549081	https://m.weibo.cn/status/H7Ns9rsHf?mblogid=H7Ns9rsHf&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	417
4318551470977524	43	6小时前	1	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8C%85%E5%AD%90%E8%A2%AB%E6%96%97%E9%B1%BC%E5%B0%81%E4%BA%86%23&extparam=%23%E5%8C%85%E5%AD%90%E8%A2%AB%E6%96%97%E9%B1%BC%E5%B0%81%E4%BA%86%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#包子被斗鱼封了#</span></a>卢本伟二号，我巴不得包子被永封！以后每天举报一次，举报到他不直播为止<span class=""url-icon""><img alt=[怒] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_nu-3895b46600.png"" style=""width:1em; height:1em;"" /></span> "	5774133372	https://m.weibo.cn/status/H7MBJ46iw?mblogid=H7MBJ46iw&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	27
4318544680080326	0	7小时前	0	"卢本伟牛逼<br />刷到了卢姥爷<span class=""url-icon""><img alt=[哈哈] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haha-bdd6ceb619.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em; height:1em;"" /></span> <a data-url=""http://t.cn/z8AGZxw"" href=""https://m.weibo.cn/p/index?title=%E4%BD%8D%E7%BD%AE&containerid=100101B2094656D66DA2F4419D&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">秦皇岛·秦皇岛职业技术学院</span></a> "	6072653874	https://m.weibo.cn/status/H7MqM0kTA?mblogid=H7MqM0kTA&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	35
4318537717136138	0	7小时前	0	"这热搜上的包子被斗鱼封了的微博底下的粉丝们（或者是水军？）要不你们也学卢本伟，拍个骂人视频发网上呗<span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em; height:1em;"" /></span>喷的这么起劲，干嘛不拍视频问候别人啊 "	5138413468	https://m.weibo.cn/status/H7MfxtWr0?mblogid=H7MfxtWr0&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	282
4317907960288373	1370	12-16	113	卧槽卢本伟给我的生日礼物！！！<br />詹姆斯亲笔签名的鞋！！！<br />我的妈呀啊啊啊啊啊啊啊<br />六年来最满意的礼物 	5882951422	https://m.weibo.cn/status/H7vRO1d1b?mblogid=H7vRO1d1b&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	1570223
4318527709655169	0	8小时前	0	"只有我一个人认为包子像卢本伟吗<span class=""url-icon""><img alt=[摊手] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_tanshou-dcf7d5d0d6.png"" style=""width:1em; height:1em;"" /></span> "	5459887884	https://m.weibo.cn/status/H7LZoEvKx?mblogid=H7LZoEvKx&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	8540
4318517026756007	0	8小时前	0	"卢本伟！绝地大科学家！我真的没开瓜！怎么？能29杀！把背包！变成平低锅！是我卢本伟的拿手绝活！我求你们了！我真的没有开瓜！卢本伟！是一个要面子的人！求好心人上香。 UP主：水果沙拉加蜂蜜 <br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23bilibili%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#bilibili#</span></a> <a data-url=""http://t.cn/EUkafZY"" target=""_blank"" href=""https://weibo.cn/sinaurl/blockedc1f6e5a3?url=http%3A%2F%2Fshare.acg.tv%2Fav38391207&sinainternalbrowser=topnav&share_menu=1&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320&u=http%3A%2F%2Fshare.acg.tv%2Fav38391207"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">卢本伟！绝地大科学家！我真的没开瓜！怎么？能29杀！把背包！变成平低锅！是我卢本伟的拿手绝活！我求你们了！我真的没有开瓜！卢本伟！是一个要面子的人！求好心人上香</span></a> （哔哩哔哩客户端下载<a data-url=""http://t.cn/R1oqGXc"" target=""_blank"" href=""https://weibo.cn/sinaurl/blockeda5a0800b?bsource=share_weibo&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320&u=http%3A%2F%2Fd.bilibili.com%2Fdownload_app.html%3Fbsource%3Dshare_weibo"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a>） "	6644253869	https://m.weibo.cn/status/H7LIaslxR?mblogid=H7LIaslxR&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	47
4318516607203167	0	8小时前	0	虽然斗鱼有问题，不过包子也是接了广告。不过这都不是重点。重点是不要把节奏闹大，让别人顺势当枪使了。现在的舆论环境都懂得。我可不想让包子成为下一个卢本伟。	3468856062	https://m.weibo.cn/status/H7LHuudS7?mblogid=H7LHuudS7&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	67
4318512916979132	0	9小时前	0	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8C%85%E5%AD%90%E8%A2%AB%E6%96%97%E9%B1%BC%E5%B0%81%E4%BA%86%23&extparam=%23%E5%8C%85%E5%AD%90%E8%A2%AB%E6%96%97%E9%B1%BC%E5%B0%81%E4%BA%86%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#包子被斗鱼封了#</span></a>想念有卢本伟直播的日子，不知道第几天，早上好 "	5606984156	https://m.weibo.cn/status/H7LBxthAE?mblogid=H7LBxthAE&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	5654
4318511306435755	1	9小时前	0	我卢本伟没有开挂 	5751817029	https://m.weibo.cn/status/H7LyWr0ev?mblogid=H7LyWr0ev&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	114
4318506977991494	2	9小时前	0	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%88%91%E7%88%B1%E5%90%83%E9%B8%A1%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#我爱吃鸡#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%90%83%E9%B8%A1%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#吃鸡#</span></a> 今天发生了那么多少事情最后都是为了提醒大家一句：wlbwmykg <span class=""url-icon""><img alt=[doge] src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_doge-d903433c82.png"" style=""width:1em; height:1em;"" /></span> <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%A2%E6%9C%AC%E4%BC%9F29%E6%9D%80%E4%B8%80%E5%91%A8%E5%B9%B4%23&extparam=%23%E5%8D%A2%E6%9C%AC%E4%BC%9F29%E6%9D%80%E4%B8%80%E5%91%A8%E5%B9%B4%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#卢本伟29杀一周年#</span></a> （转自网络） <a data-url=""http://t.cn/ELpkUno"" href=""https://m.weibo.cn/p/index?containerid=2304444311469873936319&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">游戏圈逗比君的秒拍视频</span></a>  <a data-url=""http://t.cn/R2dLOfE"" href=""https://m.weibo.cn/p/index?title=%E5%95%86%E5%9C%88&containerid=1001018008633021205000000&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">宁波 · 下应街区</span></a> "	2112675005	https://m.weibo.cn/status/H7LrXxwX4?mblogid=H7LrXxwX4&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	666
4318501517174408	0	9小时前	0	"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8C%85%E5%AD%90%E8%A2%AB%E6%96%97%E9%B1%BC%E5%B0%81%E4%BA%86%23&extparam=%23%E5%8C%85%E5%AD%90%E8%A2%AB%E6%96%97%E9%B1%BC%E5%B0%81%E4%BA%86%23&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320"" data-hide=""""><span class=""surl-text"">#包子被斗鱼封了#</span></a>怎么包子脸和卢本伟长得差不多，第一眼看着以为同一个人！ "	2743216433	https://m.weibo.cn/status/H7Lj9u6og?mblogid=H7Lj9u6og&luicode=10000011&lfid=100103type%3D1%26q%3D%E5%8D%A2%E6%9C%AC%E4%BC%9F&featurecode=20000320	813
